product_id	cost
13266	239.0000
13264	287.5000
13262	102.0000
13260	148.0000
13259	43.3000
13258	92.0000
13256	94.0000
13255	164.0000
13254	44.2000
13253	30.5000
13252	25.5000
13249	25.5000
13247	27.5000
13244	18.5000
13243	164.4000
13242	125.5000
13240	458.0000
13239	49.1000
13238	96.0000
13236	164.0000
13234	29.5000
13233	27.3000
13232	94.0000
13231	102.0000
13228	26.0000
13226	27.3000
13225	106.0000
13224	33.9000
13222	29.5000
13221	25.5000
13220	32.5000
13219	110.0000
179071	430.0000
