period	d	order_id	product_id	qty	sales	deal_type	brand	sku	product_name
2026-09	2026-09-05	55962	1086	1	1049.0000	installment	MIDEA	MIDEA-MF01610US40-W	სარეცხი მანქანა MIDEA MF01610US40/W
2026-09	2026-09-05	55966	24438	1	1059.0000	installment	KARIZZMA	JSG31-16NT02	წყლის გამაცხელებელი KARIZZMA JSG31-16NT02
2026-09	2026-09-05	55991	1086	1	709.0000	installment	MIDEA	MIDEA-MF01610US40-W	სარეცხი მანქანა MIDEA MF01610US40/W
2026-09	2026-09-05	56004	932	1	389.0000	installment	FRANKO	FRANKO-FCO-9037	ელექტრო ღუმელი FRANKO FCO-9037
2026-09	2026-09-07	55376	876	1	649.0000	installment	SHARK	SHARK-HD424SLEU	თმის სტაილერი SHARK HD424SLEU
2026-09	2026-09-07	55430	72870	1	479.0000	installment		B2-BLACK	ბავშვის სასადილო სკამი B2-BLACK
2026-09	2026-09-07	55430	72389	1	419.0000	installment		6189V-BLACK	საბავშვო სამთვალა სასეირნო ველო-ეტლი 6189V-BLACK
2026-09	2026-09-07	55430	73079	1	189.0000	installment		105CER	ჭოჭინა 360 გრადუსიანი მბრუნავი სავარძლით 105CER
2026-09	2026-09-07	55467	2514	1	1369.0000	installment		T10FT	ლურჯი ბატუტი კიბით AJ-T10FT 10FT (306სმ;250კგ)
2026-09	2026-09-07	55669	249	1	749.0000	installment	MIDEA	MIDEA-MF100W70	სარეცხის მანქანა MIDEA MF100W70
2026-09	2026-09-07	55678	70301	1	649.0000	installment		FT-7188-B	 საბავშვო ელექტრო მანქანა G-Class FT-7188-B
2026-09	2026-09-07	55775	900	1	759.0000	installment	MARAZZI	MARAZZI-ML43UG74C	ტელევიზორი MARAZZI ML43UG74C
2026-09	2026-09-07	55830	142265	1	709.0000	installment	HONOR	177280	Mobile and Smartphones/ Honor/ Honor X7e 6GB/256GB Light Blue
2026-09	2026-09-07	55844	1472	1	439.0000	installment	HISENSE	HISENSE-32A4Q	ტელევიზორი HISENSE 32A4Q
2026-09	2026-09-07	55897	747	1	799.0000	installment	HISENSE	HISENSE-RD-23DC-SILVER	მაცივარი HISENSE RD-23DC SILVER
2026-09	2026-09-07	55906	849	1	999.0000	installment	CHIGO	CHIGO-CWF904	სარეცხი მანქანა CHIGO CWF904
2026-09	2026-09-07	55909	269	1	119.0000	installment	FRANKO	FRANKO-FHS-1199	უთო FRANKO FHS-1199
2026-09	2026-09-07	55909	1184	1	89.0000	installment	FRANKO	FRANKO-F-G-T-1207	ტოსტერი FRANKO FGT-1207
2026-09	2026-09-07	55921	1374	1	449.0000	installment	CHIGO	CHIGO-CRG120	მაცივარი CHIGO CRG120
2026-09	2026-09-07	55940	1471	1	919.0000	installment	HISENSE	HISENSE-WF3S8043BB3	სარეცხი მანქანა HISENSE WF3S8043BB3
2026-09	2026-09-07	55988	71606	1	179.0000	installment		338SKY	საბავშვო სკუტერი ხელის მოსაკიდით 338SKY
2026-09	2026-09-07	56007	2160	1	429.0000	installment	MIDEA	MIDEA-VSS-P9-LITE	მტვერსასრუტი MIDEA VSS-P9-LITE
2026-09	2026-09-07	56027	64146	1	689.0000	installment	DJI	DJI-1	DJI Neo ( No RC)
2026-09	2026-09-07	56036	38978	1	139.0000	installment	Electrolux	160014	Mixer/ Electrolux EHM4B
2026-09	2026-09-07	56036	2163	1	369.0000	installment	MIDEA	MIDEA-MF-CY55WK2	აეროგრილი MIDEA MF-CY55WK2
2026-09	2026-09-07	56048	660	1	909.0000	installment		bed-M1	საწოლი M1
2026-09	2026-09-07	56048	19087	1	339.0000	installment		MAT010	მატრასი ღია ზამბარა ერთქეჩიანი 160/200
2026-09	2026-09-07	56074	684	1	859.0000	installment		polo	დივანი "პოლო"
2026-09	2026-09-07	56114	71613	1	169.0000	installment		006SKU-BLU	საბავშვო სკუტერი dumitu plus 006SKU-BLU
2026-09	2026-09-07	56114	2547	1	179.0000	installment	CASIO	7ARDF	საათი Casio Quartz Wristwatch / LTP-1094Q-7ARDF
2026-09	2026-09-07	56123	1472	1	439.0000	installment	HISENSE	HISENSE-32A4Q	ტელევიზორი HISENSE 32A4Q
