product_id	start_price	final_price	deal_type
15843	940.00	1540.00	installment
14248	950.00	1570.00	installment
4247	1020.00	1670.00	installment
15760	2057.00	3360.00	installment
13820	30.00	80.00	installment
15968	400.00	730.00	installment
15969	95.00	200.00	installment
15969	95.00	200.00	installment
15969	95.00	200.00	installment
15969	95.00	200.00	installment
15970	15.00	40.00	installment
15971	156.00	270.00	installment
1618	50.00	100.00	installment
1635	85.00	190.00	installment
15920	185.00	350.00	installment
13529	945.00	1690.00	installment
7849	825.00	1370.00	installment
15895	376.00	620.00	installment
15927	1600.00	2720.00	installment
15727	970.00	1600.00	installment
9685	560.00	920.00	installment
7806	1150.00	1890.00	installment
15895	376.00	620.00	installment
11975	650.00	1070.00	installment
15925	1150.00	1930.00	installment
9154	350.00	580.00	installment
15727	970.00	1600.00	installment
15739	970.00	1600.00	installment
4053	555.00	960.00	installment
9619	710.00	1160.00	installment
15927	1600.00	2720.00	installment
15727	970.00	1600.00	installment
15932	376.00	620.00	installment
4705	93.00	170.00	installment
5226	37.00	90.00	installment
15010	25.00	60.00	installment
13351	135.00	430.00	installment
15892	376.00	620.00	installment
11847	435.00	760.00	installment
631	72.00	140.00	installment
11612	319.00	620.00	installment
12974	223.00	410.00	installment
15369	135.00	370.00	installment
6971	1380.00	2260.00	installment
15892	376.00	620.00	installment
15727	970.00	1600.00	installment
15727	970.00	1600.00	installment
15712	995.00	1740.00	installment
15254	975.00	1690.00	installment
14097	154.00	280.00	installment
14209	760.00	1390.00	installment
9704	520.00	860.00	installment
15948	123.00	280.00	installment
3972	560.00	950.00	installment
13814	240.00	430.00	installment
15961	85.00	240.00	installment
11751	294.00	490.00	installment
15895	376.00	620.00	installment
15570	820.00	1340.00	installment
13528	899.00	1900.00	installment
15964	879.00	1720.00	installment
15895	376.00	620.00	installment
15972	859.00	1440.00	installment
15974	263.00	460.00	installment
15974	263.00	460.00	installment
15974	263.00	460.00	installment
15974	263.00	460.00	installment
11751	294.00	490.00	installment
13835	122.00	210.00	installment
15858	330.00	550.00	installment
1629	156.00	290.00	installment
